t1:
(0, 1)
(0, 2)
(0, 3)
(0, 4)
t2:
(0, 1)
(1, 2)
(1, 3)
(2, 5)
(3, 4)
t3:
(0, 1)
(0, 4)
(0, 5)
(1, 2)
(1, 3)
t4:
(0, 1)
(0, 2)
(0, 3)
(0, 5)
(0, 9)
(1, 7)
(1, 8)
(2, 6)
(3, 4)
t5:
(0, 1)
(0, 4)
(0, 9)
(1, 2)
(1, 10)
(2, 3)
(3, 5)
(4, 8)
(5, 6)
(5, 7)
t6:
(0, 1)
(0, 2)
(1, 3)
(1, 4)
(1, 9)
(4, 5)
(5, 6)
(5, 7)
(7, 8)
(8, 10)
(8, 11)
t7:
(0, 1)
(0, 5)
(1, 2)
(1, 4)
(1, 6)
(2, 3)
(2, 7)
(2, 9)
(4, 10)
(7, 8)
(10, 11)
t8:
(0, 1)
(0, 2)
(0, 11)
(0, 12)
(1, 7)
(1, 10)
(2, 3)
(3, 4)
(3, 5)
(4, 6)
(4, 9)
(6, 8)
t9:
(0, 1)
(1, 2)
(1, 4)
(2, 3)
(2, 5)
(2, 6)
(2, 9)
(3, 8)
(4, 10)
(5, 7)
(10, 11)
(11, 12)
t10:
(0, 1)
(0, 2)
(1, 3)
